_gold_cui_rank,_gold_cui_score,_gold_name,_text,accuracy,max_accuracy,max_mrr,mrr,~pred_cuis_1.0,~pred_cuis_10.0,~pred_cuis_2.0,~pred_cuis_3.0,~pred_cuis_4.0,~pred_cuis_5.0,~pred_cuis_6.0,~pred_cuis_7.0,~pred_cuis_8.0,~pred_cuis_9.0,~~comm,~~mention_uuid,cos_dist,sentence,cos_rank
1.0,0.9818970561027528,"Pericardial effusion, NOS",pericardial effusion,1.0,1.0,1.0,1.0,"C0031039=Pericardial effusion, NOS (0.98)","C1260873=Aortic valve disorder, NOS (-0.63)",C0032227=Pleural effusion (disorder) (0.45),C0747635=Bilateral pleural effusion (0.31),C0265135=Acute pericardial effusion (0.05),C0027051=Myocardial infarction (-0.05),C1535567=(Cardiac tamponade) or (pericardial disease NOS) (-0.11),"C0007177=Tamponade, cardiac (-0.48)",C0349077=Pericardial effusion - noninflammatory (-0.55),C0340442=Other pericardial disease NOS (-0.62),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21286-109632-ECHO_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819b33,0.49630624310045046,No pericardial effusion. .,97918.0
1.0,0.9573835730552672,Atrial septal defect,atrial septal defect,1.0,1.0,1.0,1.0,C0018817=Atrial septal defect (0.96),C0344924=Restrictive ventricular septal defect (0.06),C0018818=Ventricular septal defect (0.84),C0344794=Malaligned atrial septum (0.68),C0555060=Atrial septal defect murmur (0.60),C0149721=Ventricular hypertrophy (& [left]) (0.59),C0033036=Atrial premature complex (0.59),C0344722=Abnormality of atrial septum (0.44),C0018816=Heart septal defects (0.38),C0344730=Sinus venosus atrial septal defect (0.09),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21286-109632-ECHO_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819b34,0.46336648017718096,No atrial septal defect is seen by 2D or color Doppler. .,130969.0
1.0,0.9740261435508728,"Hypokinesia, NOS",hypokinesis,1.0,1.0,1.0,1.0,"C0086439=Hypokinesia, NOS (0.97)","C0020649=Hypotension, NOS (-0.96)",C0085623=Akinesia (0.93),C0232172=Hypokinesis of cardiac wall (0.32),"C0020639=Hypoproteinemia, NOS (-0.93)",C1299342=Mild hypokinesis of cardiac wall (-0.95),"C0020678=Hypotrichosis, NOS (-0.96)",C1299344=Severe hypokinesis of cardiac wall (-0.96),"C1261287=Stenosis, NOS (-0.96)","C0428977=Bradycardia, NOS (-0.96)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21286-109632-ECHO_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819b36,-0.012931783327545125,There is mild regional left ventricular systolic dysfunction with very mild septal and inferior hypokinesis and preserved left ventricular function with an ejection fraction of 50- -5 55% %. .,143622.0
1.0,0.958706557750702,"Atheroma, NOS",atheroma,1.0,1.0,1.0,1.0,"C0264956=Atheroma, NOS (0.96)","C0001430=Adenoma, NOS (-0.88)","C0004153=Atherosclerosis, NOS (0.08)",C0340560=Extremity artery atheroma (-0.41),C0878544=Cardiomyopathy (-0.56),"C0022408=Arthropathy, NOS (-0.67)",C0265117=Atheroma of cerebral arteries (-0.77),"C0002940=Aneurysm, NOS (-0.87)",C0564749=Embolus/thrombosis aorta NOS (-0.88),C1956346=Coronary artery disease (-0.88),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21286-109632-ECHO_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819b37,0.12155176210278039,There are simple atheroma in the aortic arch. .,89574.0
1.0,0.958706557750702,"Atheroma, NOS",atheroma,1.0,1.0,1.0,1.0,"C0264956=Atheroma, NOS (0.96)","C0001430=Adenoma, NOS (-0.88)","C0004153=Atherosclerosis, NOS (0.08)",C0340560=Extremity artery atheroma (-0.41),C0878544=Cardiomyopathy (-0.56),"C0022408=Arthropathy, NOS (-0.67)",C0265117=Atheroma of cerebral arteries (-0.77),"C0002940=Aneurysm, NOS (-0.87)",C0564749=Embolus/thrombosis aorta NOS (-0.88),C1956346=Coronary artery disease (-0.88),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21286-109632-ECHO_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819b38,0.07102863228319303,non-mobile atheroma in the descending thoracic aorta. .,134720.0
1.0,0.9721391201019288,Aortic valve insufficiency,aortic regurgitation,1.0,1.0,1.0,1.0,C0003504=Aortic valve insufficiency (0.97),C0344720=Left atrial dilatation (-0.81),C0026266=Mitral valve insufficiency (0.90),C0040961=Tricuspid valve insufficiency (0.83),C0003507=Aortic valve stenosis (-0.45),C0577870=Aortic valve vegetations (-0.59),C0034088=Pulmonary valve insufficiency (-0.66),C0577790=Aortic valve normal (-0.72),C0238669=Aortic root dilatation (-0.75),C0264733=Ventricular dilatation (-0.75),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21286-109632-ECHO_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819b39,0.5007685956961551,No aortic regurgitation is seen. .,77518.0
1.0,0.9693008065223694,Mitral valve insufficiency,mitral regurgitation,1.0,1.0,1.0,1.0,C0026266=Mitral valve insufficiency (0.97),C0026265=Mitral valve disease (-0.94),C0003504=Aortic valve insufficiency (0.87),C0040961=Tricuspid valve insufficiency (0.80),C0034088=Pulmonary valve insufficiency (-0.82),C0026267=Mitral valve prolapse syndrome (-0.82),C0577871=Mitral valve vegetations (-0.86),C0577792=Mitral valve normal (-0.89),C0042300=Valvular regurgitation (-0.91),C0340366=Mitral chordae rupture (-0.94),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21286-109632-ECHO_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819b3b,0.5034770448669604,Trivial mitral regurgitation is seen. .,80719.0
1.0,0.9818970561027528,"Pericardial effusion, NOS",pericardial effusion,1.0,1.0,1.0,1.0,"C0031039=Pericardial effusion, NOS (0.98)","C1260873=Aortic valve disorder, NOS (-0.63)",C0032227=Pleural effusion (disorder) (0.45),C0747635=Bilateral pleural effusion (0.31),C0265135=Acute pericardial effusion (0.05),C0027051=Myocardial infarction (-0.05),C1535567=(Cardiac tamponade) or (pericardial disease NOS) (-0.11),"C0007177=Tamponade, cardiac (-0.48)",C0349077=Pericardial effusion - noninflammatory (-0.55),C0340442=Other pericardial disease NOS (-0.62),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21286-109632-ECHO_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819b3c,0.5437141563966509,There is no pericardial effusion. .,52596.0
1.0,0.9740261435508728,"Hypokinesia, NOS",hypokinesis,1.0,1.0,1.0,1.0,"C0086439=Hypokinesia, NOS (0.97)","C0020649=Hypotension, NOS (-0.96)",C0085623=Akinesia (0.93),C0232172=Hypokinesis of cardiac wall (0.32),"C0020639=Hypoproteinemia, NOS (-0.93)",C1299342=Mild hypokinesis of cardiac wall (-0.95),"C0020678=Hypotrichosis, NOS (-0.96)",C1299344=Severe hypokinesis of cardiac wall (-0.96),"C1261287=Stenosis, NOS (-0.96)","C0428977=Bradycardia, NOS (-0.96)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21286-109632-ECHO_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819b3e,0.058931699318189826,Mild regional left ventricular systolic dysfunction with mild hypokinesis of the septum and inferior walls. .,141628.0
1514.0,-0.9554020166397096,Atherosclerotic fibrous plaque,atherosclerotic plaque,0.0,0.0,0.0006605019815059445,0.0006605019815059445,"C0004153=Atherosclerosis, NOS (0.38)",C0003972=Atherosclerotic cardiovascular disease (-0.44),C0577631=Carotid atherosclerosis (0.26),C2711237=Atherosclerosis of artery (0.12),C0007775=Cerebral atherosclerosis (0.06),"C0264956=Atheroma, NOS (-0.27)",C0428792=Aortic valve fibrosis (-0.33),C0155734=Renal artery atherosclerosis (-0.34),"C1260873=Aortic valve disorder, NOS (-0.40)",C1579923=Precerebral atherosclerosis (-0.43),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21286-109632-ECHO_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819b3f,0.46185254741495774,Aortic atherosclerotic plaque. .,117458.0
1.0,0.995292067527771,Aortic valve insufficiency,AR,1.0,1.0,1.0,1.0,C0003504=Aortic valve insufficiency (1.00),C0026265=Mitral valve disease (-0.59),C0026266=Mitral valve insufficiency (0.99),C0040961=Tricuspid valve insufficiency (0.98),C0034088=Pulmonary valve insufficiency (0.82),C0003507=Aortic valve stenosis (0.65),C0026269=Mitral valve stenosis (-0.39),C0349073=Aortic valve stenosis with insufficiency (-0.39),C0577790=Aortic valve normal (-0.40),C0003834=Arterial insufficiency (-0.56),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21286-109632-ECHO_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819b41,0.0625762337887758,No AR. .,11261.0
1.0,0.9808648824691772,Atrial septal defect,ASD,1.0,1.0,1.0,1.0,C0018817=Atrial septal defect (0.98),C0344794=Malaligned atrial septum (0.16),C0003507=Aortic valve stenosis (0.91),C0018818=Ventricular septal defect (0.88),C0003504=Aortic valve insufficiency (0.86),C0018816=Heart septal defects (0.66),C0344730=Sinus venosus atrial septal defect (0.30),"C0155715=Cardiac septal defect, acquired (0.23)",C0026266=Mitral valve insufficiency (0.22),C0555060=Atrial septal defect murmur (0.19),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/21286-109632-ECHO_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819b42,0.0067395298847348906,No ASD by 2D or color Doppler. .,95276.0
1.0,0.9437159895896912,Subdural hematoma,subdural hematomas,1.0,1.0,1.0,1.0,C0018946=Subdural hematoma (0.94),C1997612=History of subdural hematoma (-0.21),C0038539=Subdural empyema (0.51),C0038525=Subarachnoid hemorrhage (0.43),C0582730=Chronic intracranial subdural hematoma (0.37),C1997213=Occipital subdural hematoma (0.37),C0542322=Non-traumatic subdural hematoma (0.17),C0018944=Haematoma (0.14),C0393493=Subdural intracranial abscess (0.02),C0265080=Non-traumatic subdural hemorrhage (-0.03),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/12748-021750-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8192b3,0.4357492104120455,NSU Repeat head CT remains stable with no midline shift or mass effect from the subdural hematomas and the cervical spine was cleared. .,118738.0
4564.0,-0.9971857070922852,Insomnia (& symptom) or somnolence,somnolent,0.0,0.0,0.00021910604732690625,0.00021910604732690625,"C0039070=Syncope, NOS (-0.01)","C0021311=Infection, NOS (-0.69)","C0042963=Vomiting, NOS (-0.25)","C0023518=Leucocytosis, NOS (-0.27)","C0233407=Disorientation, NOS (-0.40)","C0004144=Atelectasis, NOS (-0.61)","C0032285=Pneumonia, NOS (-0.63)","C0029944=Overdose, NOS (-0.66)","C0013404=Dyspnea, NOS (-0.68)","C0018524=Hallucination, NOS (-0.69)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/12748-021750-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8192b5,0.1375433946548032,"On [* ** *1 11- -1 15* ** *] ], , she was more somnolent, , but was alert and oriented times three when awake. .",120551.0
3.0,-0.018213212490081787,Left lower zone pneumonia,left lower lobe pneumonia,0.0,0.0,0.3333333333333333,0.3333333333333333,"C0232107=Decreased blood pressure, not hypotension (0.17)","C0007177=Tamponade, cardiac (-0.22)",C0585105=Right lower zone pneumonia (0.02),C0585104=Left lower zone pneumonia (-0.02),"C0043252=Gunshot wound, NOS (-0.04)",C0585106=Right upper zone pneumonia (-0.05),C2585306=Abdominal tenderness of left lower quadrant (-0.08),C2240377=High blood pressure (& [essential hypertension]) (-0.10),C0578576=Left upper zone pneumonia (-0.16),C0578577=Right middle zone pneumonia (-0.19),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/12748-021750-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8192b6,0.6451834027141414,She also had a chest x-ray which showed left lower lobe pneumonia and a Dilantin level came back at 22. She had a sodium of 151 and enlarged pupil. .,93605.0
1.0,0.9356189370155334,Subdural hematoma,subdural hematoma,1.0,1.0,1.0,1.0,C0018946=Subdural hematoma (0.94),C0018944=Haematoma (-0.25),C0582730=Chronic intracranial subdural hematoma (0.44),C1997213=Occipital subdural hematoma (0.23),C0038525=Subarachnoid hemorrhage (0.11),C0038539=Subdural empyema (0.10),C0542322=Non-traumatic subdural hematoma (0.00),C0393493=Subdural intracranial abscess (-0.17),C0265080=Non-traumatic subdural hemorrhage (-0.19),C0475059=Traumatic subdural hematoma (-0.21),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/12748-021750-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8192b7,0.43378320696401107,for evacuation of the subdural hematoma. .,122580.0
1.0,0.7893493175506592,"Cough, NOS",cough,1.0,1.0,1.0,1.0,"C0010200=Cough, NOS (0.79)","C0021167=Incontinence, NOS (-0.66)","C0043144=Wheezing, NOS (0.14)",C0027497=Nausea NOS (-0.12),C0013604=Edema NOS (-0.35),"C0042963=Vomiting, NOS (-0.46)","C0032326=Pneumothorax, NOS (-0.56)","C0013404=Dyspnea, NOS (-0.61)","C0034642=Rales, NOS (-0.63)","C0018681=Headache, NOS (-0.65)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/12748-021750-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8192ba,0.10102967334122036,The patient had a positive gag and cough. .,21860.0
1.0,0.9856411218643188,Deep vein thrombosis,DVT,1.0,1.0,1.0,1.0,C0149871=Deep vein thrombosis (0.99),C0019154=Hepatic vein thrombosis (0.61),C0155773=Portal vein thrombosis (0.80),C0559488=Brachiocephalic vein thrombosis (0.77),C0340714=Ileofemoral deep vein thrombosis (0.76),C0038454=Accident - cerebrovascular (0.76),C0238457=Renal vein thrombosis (0.73),C2585480=Deep venous thrombosis of tibial vein (0.72),C0589110=Postoperative deep vein thrombosis (0.69),C0521544=Cerebellar artery thrombosis (0.63),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/12748-021750-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8192bc,0.09732766688754602,She was started on Lopressor 50 bid and subcutaneous heparin for DVT prophylaxis. .,27462.0
11.0,-0.3739252984523773,Left lower zone pneumonia,left lower lobe pneumonia,0.0,0.0,0.09090909090909093,0.09090909090909093,"C0007177=Tamponade, cardiac (0.12)",C0578576=Left upper zone pneumonia (-0.36),C2240377=High blood pressure (& [essential hypertension]) (-0.18),"C0232107=Decreased blood pressure, not hypotension (-0.19)",C0585106=Right upper zone pneumonia (-0.21),"C0031039=Pericardial effusion, NOS (-0.24)",C0585105=Right lower zone pneumonia (-0.25),C2585306=Abdominal tenderness of left lower quadrant (-0.32),"C0029944=Overdose, NOS (-0.35)",C0340106=Fluid overload pulmonary edema (-0.35),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/12748-021750-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8192bd,0.6253875697461472,The patient was started on Levaquin for the left lower lobe pneumonia. .,92366.0
1.0,0.9413033723831176,Aspiration pneumonia,aspiration ... pneumonia,1.0,1.0,1.0,1.0,C0032290=Aspiration pneumonia (0.94),C0019693=HIV infection (-0.32),"C1761609=Aspiration pneumonitis, NOS (0.73)","C0032285=Pneumonia, NOS (0.55)","C0700198=Pulmonary aspiration, NOS (0.45)",C2585749=Postoperative aspiration pneumonia (0.26),C0206061=Interstitial pneumonia (-0.09),C0155867=Pneumonia in aspergillosis (-0.11),C0949083=Nosocomial pneumonia (-0.17),C0747651=Recurrent aspiration pneumonia (-0.28),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/12748-021750-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8192be,0.37068026111066077,ID was following the patient and recommended to discontinue the levofloxacin and start her on Zosyn for empiric coverage of aspiration and nosocomial pneumonia. .,131721.0
1.0,0.8518238067626953,Nosocomial pneumonia,nosocomial pneumonia,1.0,1.0,1.0,1.0,C0949083=Nosocomial pneumonia (0.85),C0019693=HIV infection (-0.23),C0032290=Aspiration pneumonia (0.72),"C0032285=Pneumonia, NOS (0.43)",C0206061=Interstitial pneumonia (0.01),C0339949=Nocardial pneumonia (-0.03),"C1761609=Aspiration pneumonitis, NOS (-0.10)",C1527407=Eosinophilic pneumonia (-0.13),C0339967=Mycobacterial pneumonia (-0.14),C0343782=Leishmanial pneumonia (-0.19),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/12748-021750-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8192bf,0.36180376335798253,ID was following the patient and recommended to discontinue the levofloxacin and start her on Zosyn for empiric coverage of aspiration and nosocomial pneumonia. .,123345.0
11.0,-0.3739252984523773,Left lower zone pneumonia,left lower lobe pneumonia,0.0,0.0,0.09090909090909093,0.09090909090909093,"C0007177=Tamponade, cardiac (0.12)",C0578576=Left upper zone pneumonia (-0.36),C2240377=High blood pressure (& [essential hypertension]) (-0.18),"C0232107=Decreased blood pressure, not hypotension (-0.19)",C0585106=Right upper zone pneumonia (-0.21),"C0031039=Pericardial effusion, NOS (-0.24)",C0585105=Right lower zone pneumonia (-0.25),C2585306=Abdominal tenderness of left lower quadrant (-0.32),"C0029944=Overdose, NOS (-0.35)",C0340106=Fluid overload pulmonary edema (-0.35),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/12748-021750-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8192c4,0.6810919235674884,She is also currently on levofloxacin for her left lower lobe pneumonia. .,50115.0
1.0,0.9046722650527954,"Pneumonia, NOS",pneumonia,1.0,1.0,1.0,1.0,"C0032285=Pneumonia, NOS (0.90)","C0031039=Pericardial effusion, NOS (-0.73)","C0032326=Pneumothorax, NOS (0.10)",C0032290=Aspiration pneumonia (0.03),C0339949=Nocardial pneumonia (-0.40),C0339918=Pneumonia or influenza NOS (-0.51),"C0032273=Pneumoconiosis, NOS (-0.61)",C0949083=Nosocomial pneumonia (-0.63),"C0006285=Bronchopneumonia, NOS (-0.70)","C0008350=Cholelithiasis, NOS (-0.72)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/12748-021750-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8192c5,0.11981686867815584,"Her medications at the time of discharge include Dilantin 100 mg po tid, , metoprolol 75 mg po bid, , hold for heart rate less than 60 and SBP less than 120, , lisinopril 10 mg po daily, , hydralazine 10 mg IV q4 prn, , hold for SBP less than 120, , ampicillin 500 mg po q6 for three days which was started on the 27th, , levofloxacin 250 mg po q24h which was started on the 24th for a total of seven days for pneumonia, , multivitamins 5 ml po daily, , isosorbide 30 mg po tid, , insulin sliding scale, , ferrous sulfate 300 mg po bid, , folic acid 1 mg po daily, , heparin 5000 subcutaneous q12h, , lansoprazole 30 mg per NG daily. .",34071.0
1.0,0.9624660611152648,"Hypertensive disease, NOS",hypertension,1.0,1.0,1.0,1.0,"C0020538=Hypertensive disease, NOS (0.96)",C0264653=Hypertensive renal failure (-0.28),C0520539=Hypertensive episode (0.64),C0020546=Hypertensive crisis (0.48),C0151620=Hypertensive encephalopathy (0.34),C0152132=Hypertensive retinopathy (-0.00),C0520540=Rebound hypertension (-0.02),C0221155=Systolic hypertension (-0.02),C0018036=Goldblatt hypertension (-0.12),"C0340274=Pregnancy-induced hypertension, NOS (-0.27)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/12748-021750-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8192cd,0.19716236576711407,"She has also had difficulty with hypertension and has been treated with hydralazine, , Lopressor and lisinopril for blood pressure control. .",13687.0
53.0,-0.6615840196609497,"Hernia, NOS",herniated,0.0,0.0,0.018867924528301886,0.018867924528301886,C0520698=Dhat (0.33),"C0043252=Gunshot wound, NOS (-0.24)",C0019080=Haemorrhage (0.24),C0038454=Accident - cerebrovascular (0.02),C0149721=Ventricular hypertrophy (& [left]) (-0.06),C0878544=Cardiomyopathy (-0.09),"C0031039=Pericardial effusion, NOS (-0.09)",C0019284=Diaphragmatic hernia (-0.12),"C0032326=Pneumothorax, NOS (-0.18)","C0428977=Bradycardia, NOS (-0.21)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/12748-021750-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8192d1,0.22479661255221572,"Essentially, , the patient herniated just prior to surgery. .",17624.0
1.0,0.9584202170372008,"Anaemia, NOS",anemia,1.0,1.0,1.0,1.0,"C0002871=Anaemia, NOS (0.96)",C0020437=Hypercalcaemia (-0.30),"C0041948=Uremia, NOS (0.24)","C0011991=Diarrhea, NOS (0.14)","C0086439=Hypokinesia, NOS (0.07)","C0022116=Ischemia, NOS (-0.14)","C0042963=Vomiting, NOS (-0.14)","C0020452=Hyperaemia, NOS (-0.17)",C0013604=Edema NOS (-0.23),"C0018681=Headache, NOS (-0.27)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/12748-021750-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8192d5,0.04096597146055519,She was transfused with one unit of packed red blood cells for some anemia. .,59113.0
7.0,0.15240514278411865,Contusion,bruising,0.0,0.0,0.14285714285714285,0.14285714285714285,"C0043252=Gunshot wound, NOS (0.71)","C0039070=Syncope, NOS (0.06)","C0332803=Surgical wound, NOS (0.53)","C0000925=Incised wound, NOS (0.22)","C0039870=Thinness, NOS (0.20)",C0175677=Injury NOS (0.16),"C0038819=Sunstroke, NOS (0.16)",C0009938=Contusion (0.15),"C0030193=Pain, NOS (0.09)","C0013390=Dysmenorrhea, NOS (0.08)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/12748-021750-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8192d7,0.059725010022450516,Extremities - she had some bruising noted. .,127700.0
1.0,0.6627391576766968,Haematemesis,Vommiting blood,1.0,1.0,1.0,1.0,C0018926=Haematemesis (0.66),C0024117=Chronic obstructive airway disease (-0.47),C0547004=Intermenstrual bleeding - regular (0.47),"C0029944=Overdose, NOS (0.02)",C0232943=Intermenstrual heavy bleeding (0.01),"C0042963=Vomiting, NOS (-0.23)",C0019080=Haemorrhage (-0.28),"C0013404=Dyspnea, NOS (-0.30)",C0478662=Slowness and poor responsiveness (-0.30),"C0039070=Syncope, NOS (-0.34)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/18321-022756-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819880,0.5469979514098131,Vommiting blood Major Surgical or Invasive Procedure: :,47798.0
23645.0,-0.9613556265830994,Posterior rhinorrhoea,post nasal drip,0.0,0.0,4.229223937407486e-05,4.229223937407486e-05,"C0043252=Gunshot wound, NOS (0.62)",C0232533=Esophageal chest pain (0.19),"C0007177=Tamponade, cardiac (0.56)","C0029944=Overdose, NOS (0.56)",C0033270=Retained products of conception (0.37),C0239340=Edema of lower extremity (0.32),C0004238=Fibrillation - atrial (0.32),C0694551=Right lower quadrant pain (0.28),C1827170=Edema of extremity (0.25),C0033036=Atrial premature complex (0.19),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/18321-022756-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819882,0.6543132531950326,For past several days pt has been gagging and vomimitting up mucous secondary to post nasal drip. .,44811.0
1.0,0.7525860071182251,Haematemesis,vommitted ... blood,1.0,1.0,1.0,1.0,C0018926=Haematemesis (0.75),"C0004936=Mental disorder, NOS (-0.44)","C0029944=Overdose, NOS (0.43)",C0547004=Intermenstrual bleeding - regular (-0.20),"C0039070=Syncope, NOS (-0.22)","C0042963=Vomiting, NOS (-0.29)","C0233407=Disorientation, NOS (-0.33)",C0478662=Slowness and poor responsiveness (-0.35),C0232943=Intermenstrual heavy bleeding (-0.39),C0019080=Haemorrhage (-0.40),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/18321-022756-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819883,0.5142915546845639,1065* ** *] ] and immedately after vommitted about a glass and a half worth of blood. .,46068.0
1.0,0.9733711481094359,"Vomiting, NOS",vommitting,1.0,1.0,1.0,1.0,"C0042963=Vomiting, NOS (0.97)","C0086439=Hypokinesia, NOS (0.07)",C0085623=Akinesia (0.62),"C0039070=Syncope, NOS (0.60)","C0010200=Cough, NOS (0.39)","C0002871=Anaemia, NOS (0.27)","C0030193=Pain, NOS (0.25)","C0042950=Volition, NOS (0.24)","C0032285=Pneumonia, NOS (0.19)","C0302142=Deformity, NOS (0.10)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/18321-022756-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819884,0.12110452723949659,After vommitting about seven more times that day she began to feel dizzy and so cam to the [* ** *D Doctor First Name ** *] ]. .,20969.0
1.0,0.9657523036003112,Chest pain,chest pain,1.0,1.0,1.0,1.0,C0008031=Chest pain (0.97),C0238656=Ankle pain (-0.54),C0000737=Abdominal pain (0.28),C0004604=Back pain (-0.18),C0016199=Flank pain (-0.25),C0037011=Shoulder pain (-0.26),C0239783=Inguinal pain (-0.36),C0007859=Neck pain (-0.50),C0241374=Thigh pain (-0.53),C0232289=Radiating chest pain (-0.54),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/18321-022756-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819886,0.5688960637725513,"Pt denies chest pain, , sob, , syncope, , melena, , hematochezeia. .",22085.0
1.0,0.4026023745536804,"Dyspnea, NOS",sob,1.0,1.0,1.0,1.0,"C0013404=Dyspnea, NOS (0.40)","C0042963=Vomiting, NOS (-0.38)","C0039070=Syncope, NOS (0.11)",C0027497=Nausea NOS (0.10),C0036572=Seizure (-0.05),"C0029944=Overdose, NOS (-0.21)","C0010200=Cough, NOS (-0.21)","C0018681=Headache, NOS (-0.35)",C0559682=Intermittent confusion (-0.37),"C0233407=Disorientation, NOS (-0.38)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/18321-022756-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819887,0.08242970065947999,"Pt denies chest pain, , sob, , syncope, , melena, , hematochezeia. .",55488.0
1.0,0.909859836101532,"Syncope, NOS",syncope,1.0,1.0,1.0,1.0,"C0039070=Syncope, NOS (0.91)","C0023518=Leucocytosis, NOS (-0.51)","C0018681=Headache, NOS (-0.17)","C1457887=Symptom, NOS (-0.22)","C0700198=Pulmonary aspiration, NOS (-0.27)","C0010200=Cough, NOS (-0.37)","C0004096=Asthma, NOS (-0.42)","C0042963=Vomiting, NOS (-0.43)","C0013404=Dyspnea, NOS (-0.46)",C0878544=Cardiomyopathy (-0.46),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/18321-022756-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819888,0.09219834688877844,"Pt denies chest pain, , sob, , syncope, , melena, , hematochezeia. .",80899.0
